round 0 : 
Feature index,	MI,	MRMR,	DIMRMR,	DI,	C_ratio,	avg dep, complementary info, compInfo-iCF	JMI red.
0, 0.0425810236150721, 0.0425810236150721, 0.0425810236150721, 1, -0.0425810236150721, 0, 0, 0, 0
1, 0.046015309177701136, 0.046015309177701136, 0.046015309177701136, 1, -0.046015309177701136, 0, 0, 0, 0
2, 0.19894439406736475, 0.19894439406736475, 0.19894439406736475, 1, -0.19894439406736475, 0, 0, 0, 0
3, 0.27811453335636027, 0.27811453335636027, 0.27811453335636027, 1, -0.27811453335636027, 0, 0, 0, 0
4, 0.20367432639058536, 0.20367432639058536, 0.20367432639058536, 1, -0.20367432639058536, 0, 0, 0, 0
5, 0.3198890796854017, 0.3198890796854017, 0.3198890796854017, 1, -0.3198890796854017, 0, 0, 0, 0
6, 0.03848058348234207, 0.03848058348234207, 0.03848058348234207, 1, -0.03848058348234207, 0, 0, 0, 0
7, 0.06407145684980198, 0.06407145684980198, 0.06407145684980198, 1, -0.06407145684980198, 0, 0, 0, 0
8, 0.09901956507342513, 0.09901956507342513, 0.09901956507342513, 1, -0.09901956507342513, 0, 0, 0, 0
9, 0.05645165010223829, 0.05645165010223829, 0.05645165010223829, 1, -0.05645165010223829, 0, 0, 0, 0
10, 0.1981748810914019, 0.1981748810914019, 0.1981748810914019, 1, -0.1981748810914019, 0, 0, 0, 0
11, 0.2036328390553388, 0.2036328390553388, 0.2036328390553388, 1, -0.2036328390553388, 0, 0, 0, 0
12, 0.00010368209191258249, 0.00010368209191258249, 0.00010368209191258249, 1, -0.00010368209191258249, 0, 0, 0, 0
13, 0.20384040593822395, 0.20384040593822395, 0.20384040593822395, 1, -0.20384040593822395, 0, 0, 0, 0
14, 0.07514072167990582, 0.07514072167990582, 0.07514072167990582, 1, -0.07514072167990582, 0, 0, 0, 0
15, 0.07458184823017633, 0.07458184823017633, 0.07458184823017633, 1, -0.07458184823017633, 0, 0, 0, 0
16, 0.0746180482769232, 0.0746180482769232, 0.0746180482769232, 1, -0.0746180482769232, 0, 0, 0, 0
17, 0.07460356675458502, 0.07460356675458502, 0.07460356675458502, 1, -0.07460356675458502, 0, 0, 0, 0
18, 0.0010134988757222185, 0.0010134988757222185, 0.0010134988757222185, 1, -0.0010134988757222185, 0, 0, 0, 0
19, 0.2191221110209427, 0.2191221110209427, 0.2191221110209427, 1, -0.2191221110209427, 0, 0, 0, 0
20, 0.0014817867850641653, 0.0014817867850641653, 0.0014817867850641653, 1, -0.0014817867850641653, 0, 0, 0, 0
21, 0.00809659135815366, 0.00809659135815366, 0.00809659135815366, 1, -0.00809659135815366, 0, 0, 0, 0
22, 0.08153573166847417, 0.08153573166847417, 0.08153573166847417, 1, -0.08153573166847417, 0, 0, 0, 0
23, 0.0975124150916018, 0.0975124150916018, 0.0975124150916018, 1, -0.0975124150916018, 0, 0, 0, 0
24, 0.06775146922176023, 0.06775146922176023, 0.06775146922176023, 1, -0.06775146922176023, 0, 0, 0, 0
25, 0.06775146922176023, 0.06775146922176023, 0.06775146922176023, 1, -0.06775146922176023, 0, 0, 0, 0
26, 0.09876251624374954, 0.09876251624374954, 0.09876251624374954, 1, -0.09876251624374954, 0, 0, 0, 0
27, 0.20365358109689957, 0.20365358109689957, 0.20365358109689957, 1, -0.20365358109689957, 0, 0, 0, 0
28, 0.03704003929000288, 0.03704003929000288, 0.03704003929000288, 1, -0.03704003929000288, 0, 0, 0, 0
29, 0.03554367415064086, 0.03554367415064086, 0.03554367415064086, 1, -0.03554367415064086, 0, 0, 0, 0
30, 0.03704320780177894, 0.03704320780177894, 0.03704320780177894, 1, -0.03704320780177894, 0, 0, 0, 0
31, 0.0003436919347372669, 0.0003436919347372669, 0.0003436919347372669, 1, -0.0003436919347372669, 0, 0, 0, 0
32, 0.46850444523995527, 0.46850444523995527, 0.46850444523995527, 1, -0.46850444523995527, 0, 0, 0, 0
33, 4.947992971415793e-05, 4.947992971415793e-05, 4.947992971415793e-05, 1, -4.947992971415793e-05, 0, 0, 0, 0
34, 0.001253747858827703, 0.001253747858827703, 0.001253747858827703, 1, -0.001253747858827703, 0, 0, 0, 0
35, 0.001260410036272197, 0.001260410036272197, 0.001260410036272197, 1, -0.001260410036272197, 0, 0, 0, 0
36, 0.10197379978544929, 0.10197379978544929, 0.10197379978544929, 1, -0.10197379978544929, 0, 0, 0, 0
37, 0.10397153034086437, 0.10397153034086437, 0.10397153034086437, 1, -0.10397153034086437, 0, 0, 0, 0
38, 0.0887248962622127, 0.0887248962622127, 0.0887248962622127, 1, -0.0887248962622127, 0, 0, 0, 0
39, 0.08519195181926387, 0.08519195181926387, 0.08519195181926387, 1, -0.08519195181926387, 0, 0, 0, 0
40, 0.11100867555197125, 0.11100867555197125, 0.11100867555197125, 1, -0.11100867555197125, 0, 0, 0, 0
41, 0.14309265874099886, 0.14309265874099886, 0.14309265874099886, 1, -0.14309265874099886, 0, 0, 0, 0
42, 0.12943620412934265, 0.12943620412934265, 0.12943620412934265, 1, -0.12943620412934265, 0, 0, 0, 0
max value 0.46850444523995527 for feature 32, DI value: 1, C ratio: -0.46850444523995527
round 1 : 
Feature index,	MI,	MRMR,	DIMRMR,	DI,	C_ratio,	avg dep, complementary info, compInfo-iCF	JMI red.
0, 0.0425810236150721, 0.0041462491865628115, 0.0015783153337877941, 0.380660993290709, -0.03793694697143568, 0.004644076643636419, 0.4305674982685197, -0.03793694697143557, 0.03793694697143568
