entropy values:
column, entropy
0, 0.10688870866871013
1, 0.7682361456425633
2, 0.7072175583458908
3, 0.44020327103902934
4, 0.7184827213518188
5, 0.7750089093031727
6, 0.21552092534221895
7, 0.9945756938566757
8, 0.999459142221004
9, 0.8963862850985518
10, 0.697065629657897
11, 0.7185633366364292
12, 0.021350924378655656
13, 0.7181601149789092
14, 0.9796065697569072
15, 0.980352025077544
16, 0.9803040461397793
17, 0.9803232448333589
18, 0.43614194674422097
19, 0.7396133516421621
20, 0.41834119101212486
21, 0.32840166900131396
22, 0.9610548680365233
23, 0.9423566461142003
24, 0.9917900867566305
25, 0.9917900867566305
26, 0.834500096491393
27, 0.7185230308091413
28, 0.21339793277791308
29, 0.21648312805692382
30, 0.2125269809658638
31, 0.018641597103889036
32, 0.5913772714240068
33, 0.003232185688440748
34, 0.12430493012795803
35, 0.12424960958167573
36, 0.6610870136564126
37, 0.6663769775668569
38, 0.6488058312857663
39, 0.5879009342774231
40, 0.6842672147516149
41, 0.7682003691571411
42, 0.6672308240307261
43, 0.5477119834334166
