MIM,MRMR,DIMRMR,DI,C_ratio
0.052606874054123676,0.030358419303731437,0.01741570530839134,0.5307577760091371,0.0011141605392397044
0.046874680025686066,0.006314486428373886,0.0005413302319752439,0.37869102098221025,-0.012589351588534393
0.20785882890923157,0.0014865313792055135,-0.0014504090399388271,0.06825671172561143,-0.0862206423669985
0.27288871828303185,0.046810326459924,0.015909097840961384,0.2059058678284626,-0.13919891372058496
0.2147606538674065,-0.056807480758377715,-0.003371588472134381,0.050802375009620836,-0.0966211768602331
0.3069604237137369,0.07246856451940384,0.015177261181389557,0.12372550939010493,-0.14170804426614492
0.027268912238764154,0.0017904850104751777,0.0009033263540078095,0.3954724763846459,0.009679310061993546
0.06876059227571307,-0.08890003868062943,-0.020022264952405895,0.15842948283883918,-0.03451431894408288
0.0998180012382972,-0.0026630790348873556,-0.005509269895703791,0.16012597895615774,-0.04332808342112766
0.05392156617723187,-0.14150104263685573,0.014232019461777589,0.8525715931221675,-0.029461308027222022
0.20971389046525513,0.0029368579741727296,-0.00033406262007150194,0.09549195280061264,-0.08696203608590643
0.2147606538674065,-0.036402198545491204,-0.002415451455596972,0.05347734460394602,-0.09099548747893912
0.00018760466041523038,-0.0018343180587624469,-0.00047004312718295114,0.2691473142955378,0.0008511885595565705
0.2147606538674065,-0.021297487469177312,-0.0019816631415089463,0.058761051658254036,-0.08941413228926509
0.08263111137444801,-0.17428334873361156,-0.0175572374845619,0.14748678149645958,-0.040723084733485196
0.08239789609563108,-0.24311974228250732,-0.0285195331597754,0.12522844795504967,-0.04652447137175969
0.08209976850208234,-0.12541829214775468,-0.021672398832320562,0.139570572360173,-0.042496316115606815
0.08239789609563108,-0.22711225709522642,-0.02556414791009349,0.1318048208591569,-0.044716883724277116
0.0016197434960089074,-0.0065030160649193515,-0.0028363913985326155,0.25765051394803634,0.00274985090535661
0.21238013242270282,9.442779683471736e-05,-0.0003543389670667295,0.07610360205434884,-0.08389341411984219
0.003642432020984021,-0.021726176863260643,-0.005834763716877237,0.24797755737000238,-0.0006064132374840269
0.006855579630761444,-0.0020031516544207918,-0.0011546162022330233,0.2541864581102729,-0.002639727384476827
0.09232091587682478,-0.0649782142724456,-0.013677372470017343,0.13660641174012683,-0.04670403007162285
0.10757329749371025,-0.1003618409537006,-0.011462425459816449,0.12710785642787645,-0.051676719820285905
0.07161733575785978,-0.021735893401436557,-0.005239583560003952,0.18501843025716103,-0.03348164415284966
0.07161733575785978,0.014692928714830855,0.0020957785875048997,0.36341223092107805,-0.043221286609826916
0.10644783454598672,-0.03290644688809516,-0.007951619964903284,0.13395128073554532,-0.049623581985728325
0.2145530615326703,0.008383355972257117,0.0009412293201963379,0.13123140349691909,-0.10953924944389751
0.08128396545837546,-0.21023380503807437,-0.029845100293415097,0.1233881152063535,-0.0467807114138391
0.08128396545837546,-0.19249885833190622,-0.027168534801555514,0.12964783347087044,-0.045058973725578946
0.08128396545837546,-0.1549664394139705,-0.023742296777806777,0.13658303739708214,-0.043156000491186154
0.00022934383246564494,-0.0010626484604538632,-0.0003713232174798639,0.3038349073522915,0.0008588862511411061
0.464666031405211,0.464666031405211,0.464666031405211,1.0,-0.464666031405211
0.00023358211287483055,-0.0015167299021878362,-0.0004796530135222004,0.28829667858589453,0.00030557023650350766
0.0029658428863555963,-0.009205886535976184,-0.0015745118956143058,0.25204737566872837,-0.0013085244367541968
0.0029658428863555963,0.00010153395509532315,-0.00020176461527160575,0.3324828737254563,-0.0013453094925602995
0.10625321734854709,-0.06949569610097678,-0.009292539433942818,0.1266433930693915,-0.052814009015106515
0.11004825011251063,-0.0837827471608022,-0.010747105762945288,0.1148161313045507,-0.05747266675446383
0.09306135847991581,-0.05215222094537186,-0.010229708875489112,0.1341614858345127,-0.04866231434738475
0.09470037043244628,-0.018380697176308525,-0.005306839265630763,0.14518894734286542,-0.044655733164920074
0.11654304993923104,-0.11239461584447383,-0.011837583249719567,0.10267356128392921,-0.06300817332264998
0.1447346293579439,0.020991649400219137,-3.7118265606134572e-06,0.16914400285676856,-0.06265250853989239
0.12973505954667308,-0.09661761072609792,-0.008085385475629064,0.10644280438609956,-0.06255056877526585
